spp_slug,commonName,scientificName,aou,bnc
accipiter-cooperii,Cooper's Hawk,Accipiter cooperii,279,201
accipiter-gentilis,Northern Goshawk,Accipiter gentilis,282,202
accipiter-striatus,Sharp-shinned Hawk,Accipiter striatus,278,200
actitis-macularius,Spotted Sandpiper,Actitis macularius,397,244
aechmophorus-clarkii,Clark's Grebe,Aechmophorus clarkii,141,11303
aechmophorus-occidentalis,Western Grebe,Aechmophorus occidentalis,140,104
aegolius-acadicus,Northern Saw-whet Owl,Aegolius acadicus,705,341
agelaius-phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,1772,529
peucaea-aestivalis,Bachman's Sparrow,Peucaea aestivalis,1697,500
aix-sponsa,Wood Duck,Aix sponsa,31,162
alca-torda,Razorbill,Alca torda,516,315
alle-alle,Dovekie,Alle alle,513,313
ammodramus-caudacutus,Saltmarsh Sparrow,Ammodramus caudacutus,1718,513
ammodramus-henslowii,Henslow's Sparrow,Ammodramus henslowii,1717,511
ammodramus-leconteii,Le Conte's Sparrow,Ammodramus leconteii,2040,512
ammodramus-maritimus,Seaside Sparrow,Ammodramus maritimus,1719,514
ammodramus-nelsoni,Nelson's Sparrow,Ammodramus nelsoni,2041,515
ammodramus-savannarum,Grasshopper Sparrow,Ammodramus savannarum,1716,510
anas-acuta,Northern Pintail,Anas acuta,46,166
anas-americana,American Wigeon,Anas americana,35,173
anas-clypeata,Northern Shoveler,Anas clypeata,44,170
anas-crecca,Green-winged Teal,Anas crecca,49,163
anas-cyanoptera,Cinnamon Teal,Anas cyanoptera,43,169
anas-discors,Blue-winged Teal,Anas discors,42,168
anas-penelope,Eurasian Wigeon,Anas penelope,34,172
anas-platyrhynchos,Mallard,Anas platyrhynchos,37,165
anas-querquedula,Garganey,Anas querquedula,47,167
anas-rubripes,American Black Duck,Anas rubripes,36,164
anas-strepera,Gadwall,Anas strepera,32,171
anhinga-anhinga,Anhinga,Anhinga anhinga,213,132
anous-stolidus,Brown Noddy,Anous stolidus,482,311
anser-albifrons,Greater White-fronted Goose,Anser albifrons,14,157
anthus-rubescens,American Pipit,Anthus rubescens,1521,427
anthus-spragueii,Sprague's Pipit,Anthus spragueii,1522,428
aquila-chrysaetos,Golden Eagle,Aquila chrysaetos,310,208
aramus-guarauna,Limpkin,Aramus guarauna,364,226
archilochus-colubris,Ruby-throated Hummingbird,Archilochus colubris,864,349
ardea-alba,Great Egret,Ardea alba,227,138
ardea-herodias,Great Blue Heron,Ardea herodias,224,136
arenaria-interpres,Ruddy Turnstone,Arenaria interpres,423,253
asio-flammeus,Short-eared Owl,Asio flammeus,701,340
asio-otus,Long-eared Owl,Asio otus,699,339
aythya-affinis,Lesser Scaup,Aythya affinis,56,178
aythya-americana,Redhead,Aythya americana,51,175
aythya-collaris,Ring-necked Duck,Aythya collaris,53,176
aythya-marila,Greater Scaup,Aythya marila,55,177
aythya-valisineria,Canvasback,Aythya valisineria,50,174
baeolophus-bicolor,Tufted Titmouse,Baeolophus bicolor,1343,397
bartramia-longicauda,Upland Sandpiper,Bartramia longicauda,410,245
bombycilla-cedrorum,Cedar Waxwing,Bombycilla cedrorum,1525,429
bonasa-umbellus,Ruffed Grouse,Bonasa umbellus,98,214
botaurus-lentiginosus,American Bittern,Botaurus lentiginosus,218,134
branta-bernicla,Brant,Branta bernicla,19,160
branta-canadensis,Canada Goose,Branta canadensis,22,161
branta-hutchinsii,Cackling Goose,Branta hutchinsii,21,12179
branta-leucopsis,Barnacle Goose,Branta leucopsis,20,12210
bubo-scandiacus,Snowy Owl,Bubo scandiacus,682,336
bubo-virginianus,Great Horned Owl,Bubo virginianus,681,335
bubulcus-ibis,Cattle Egret,Bubulcus ibis,236,143
bucephala-albeola,Bufflehead,Bucephala albeola,67,188
bucephala-clangula,Common Goldeneye,Bucephala clangula,68,186
bulweria-bulwerii,Bulwer's Petrel,Bulweria bulwerii,163,112
buteo-jamaicensis,Red-tailed Hawk,Buteo jamaicensis,305,206
buteo-lagopus,Rough-legged Hawk,Buteo lagopus,307,207
buteo-lineatus,Red-shouldered Hawk,Buteo lineatus,296,203
buteo-platypterus,Broad-winged Hawk,Buteo platypterus,298,204
buteo-swainsoni,Swainson's Hawk,Buteo swainsoni,301,205
butorides-virescens,Green Heron,Butorides virescens,238,144
calamospiza-melanocorys,Lark Bunting,Calamospiza melanocorys,1714,507
calcarius-lapponicus,Lapland Longspur,Calcarius lapponicus,1733,524
calidris-alba,Sanderling,Calidris alba,428,255
calidris-alpina,Dunlin,Calidris alpina,442,264
calidris-bairdii,Baird's Sandpiper,Calidris bairdii,437,261
calidris-canutus,Red Knot,Calidris canutus,427,254
calidris-ferruginea,Curlew Sandpiper,Calidris ferruginea,443,265
calidris-fuscicollis,White-rumped Sandpiper,Calidris fuscicollis,436,260
calidris-himantopus,Stilt Sandpiper,Calidris himantopus,444,266
calidris-maritima,Purple Sandpiper,Calidris maritima,440,263
calidris-mauri,Western Sandpiper,Calidris mauri,430,257
calidris-melanotos,Pectoral Sandpiper,Calidris melanotos,438,262
calidris-minuta,Little Stint,Calidris minuta,432,258
calidris-minutilla,Least Sandpiper,Calidris minutilla,435,259
calidris-pusilla,Semipalmated Sandpiper,Calidris pusilla,429,256
calonectris-diomedea,Cory's Shearwater,Calonectris diomedea,167,113
calonectris-edwardsii,Cape Verde Shearwater,Calonectris edwardsii,168,11304
antrostomus-carolinensis,Chuck-will's-widow,Antrostomus carolinensis,718,345
antrostomus-vociferus,Eastern Whip-poor-will,Antrostomus vociferus,724,346
cardinalis-cardinalis,Northern Cardinal,Cardinalis cardinalis,1755,488
acanthis-flammea,Common Redpoll,Acanthis flammea,1857,548
spinus-pinus,Pine Siskin,Spinus pinus,1860,549
spinus-tristis,American Goldfinch,Spinus tristis,1868,551
haemorhous-mexicanus,House Finch,Haemorhous mexicanus,10371,544
haemorhous-purpureus,Purple Finch,Haemorhous purpureus,10351,543
cathartes-aura,Turkey Vulture,Cathartes aura,256,153
catharus-fuscescens,Veery,Catharus fuscescens,1450,415
catharus-guttatus,Hermit Thrush,Catharus guttatus,1454,418
catharus-minimus,Gray-cheeked Thrush,Catharus minimus,1451,416
catharus-ustulatus,Swainson's Thrush,Catharus ustulatus,1453,417
certhia-americana,Brown Creeper,Certhia americana,1351,401
megaceryle-alcyon,Belted Kingfisher,Megaceryle alcyon,912,353
