siteID,regionID,name,note,url,picture
331,1,Pea Island National Wildlife Refuge,NULL,NULL,NULL
332,1,Pettigrew State Park,NULL,NULL,NULL
329,1,Merchants Millpond State Park,NULL,NULL,NULL
330,1,Outer Banks Center for Wildlife Education,NULL,NULL,NULL
328,1,Mattamuskeet National Wildlife Refuge,NULL,NULL,NULL
4,1,Abbey Nature Preserve,NULL,NULL,NULL
5,2,Duke Forest,NULL,NULL,NULL
9,1,Bald Head Island,NULL,NULL,NULL
7,1,Airlie Gardens,NULL,NULL,NULL
8,1,Boiling Spring Lakes Preserve,NULL,NULL,NULL
10,2,Caswell Game Land,NULL,NULL,NULL
11,2,Mayo Park,NULL,NULL,NULL
12,2,Bog Garden,NULL,NULL,NULL
13,2,Falls Lake State Recreation Area - Beaverdam Reservoir,NULL,NULL,NULL
14,2,Bur-Mil Park,NULL,NULL,NULL
15,1,Brunswick Community College,NULL,NULL,NULL
16,1,Cedar Point Tideland Trail,NULL,NULL,NULL
17,1,Bay Tree Lake State Park,NULL,NULL,NULL
18,2,Cedarock Park,NULL,NULL,NULL
19,2,Guilford Courthouse National Military Park,NULL,NULL,NULL
20,1,Cabin Lake County Park,NULL,NULL,NULL
327,1,Masonboro Island,NULL,NULL,NULL
22,2,Anderson Point Park,NULL,NULL,NULL
23,1,Carolina Beach State Park,NULL,NULL,NULL
326,1,Mackay Island National Wildlife Refuge,NULL,NULL,NULL
325,1,Lake Waccamaw State Park,NULL,NULL,NULL
26,1,Bennetts Millpond,NULL,NULL,NULL
27,1,Brunswick Town/Fort Anderson State Historic Site,NULL,NULL,NULL
324,1,Green Swamp Preserve,NULL,NULL,NULL
323,1,Goose Creek Game Land,NULL,NULL,NULL
30,1,Contentnea Creek Paddle Trail,NULL,NULL,NULL
31,1,Cherry Branch: Minnesott Beach Ferry,NULL,NULL,NULL
32,1,Cliffs of the Neuse State Park,NULL,NULL,NULL
33,1,Emerald Isle Woods,NULL,NULL,NULL
322,1,Ev-Henwood Nature Preserve,NULL,NULL,NULL
36,1,Catherine Creek/Warwick Creek Paddle Trail,NULL,NULL,NULL
37,1,Croatan National Forest - Island Creek,NULL,NULL,NULL
38,1,Croatan National Forest - Millis and Pringle Roads,NULL,NULL,NULL
39,1,Croatan National Forest - Neusiok Trail,NULL,NULL,NULL
40,1,CSS Neuse State Historic Site,NULL,NULL,NULL
321,1,Dismal Swamp Canal Trail,NULL,NULL,NULL
42,1,Dismal Swamp State Natural Area,NULL,NULL,NULL
43,1,Eastern 4-H Environmental Education Conference Center,NULL,NULL,NULL
44,1,Edenton National Fish Hatchery,NULL,NULL,NULL
320,1,Currituck National Wildlife Refuge,NULL,NULL,NULL
46,1,Fort Fisher State Historic Site,NULL,NULL,NULL
47,1,Fort Fisher State Recreation Area,NULL,NULL,NULL
48,1,Fort Macon State Park,NULL,NULL,NULL
319,1,Currituck Banks National Estuarine Research Reserve,NULL,NULL,NULL
50,1,Goose Creek State Park,NULL,NULL,NULL
52,1,Greenfield Park,NULL,NULL,NULL
53,1,Gull Rock Game Land,NULL,NULL,NULL
54,1,Hammocks Beach State Park,NULL,NULL,NULL
55,1,Harkers Island Nature Trail,NULL,NULL,NULL
56,1,Historic Hope Plantation,NULL,NULL,NULL
57,1,Holly Shelter Game Land - Greentree Impoundment,NULL,NULL,NULL
58,1,Holly Shelter Game Land - SE Gate,NULL,NULL,NULL
59,1,Hoop Pole Creek Natural Area,NULL,NULL,NULL
60,1,Howell Woods Environmental Learning Center,NULL,NULL,NULL
61,1,Jackson Farm,NULL,NULL,NULL
62,1,Jockeys Ridge State Park,NULL,NULL,NULL
63,1,Jones Lake State Park,NULL,NULL,NULL
318,1,Cedar Island National Wildlife Refuge,NULL,NULL,NULL
65,1,Lumber River State Park,NULL,NULL,NULL
317,1,Cashie Wetlands Walk,NULL,NULL,NULL
67,1,Mason Inlet Waterbird Management Area,NULL,NULL,NULL
316,1,Cape Lookout Point,NULL,NULL,NULL
315,1,Cape Hatteras National Seashore - Ocracoke Island,NULL,NULL,NULL
71,1,Mill Creek Paddle Trail,NULL,NULL,NULL
72,1,Moores Creek National Battlefield,NULL,NULL,NULL
73,1,Morningstar Nature Refuge,NULL,NULL,NULL
74,1,NC Aquarium at Fort Fisher,NULL,NULL,NULL
75,1,NC Aquarium at Pine Knoll Shores & T. Roosevelt State Natural Area,NULL,NULL,NULL
76,1,North River Game Land,NULL,NULL,NULL
77,1,Northampton County Nature Trail,NULL,NULL,NULL
78,1,Onslow County Cow Horn - New River Paddle Trail,NULL,NULL,NULL
79,1,Onslow County Public Beach Access #2,NULL,NULL,NULL
80,1,Orton Plantation Gardens,NULL,NULL,NULL
82,1,Palmetto Peartree Preserve,NULL,NULL,NULL
83,1,Patsy Pond Nature Trail,NULL,NULL,NULL
314,1,Cape Hatteras National Seashore - Hatteras Island,NULL,NULL,NULL
313,1,Cape Hatteras National Seashore - Bodie Island,NULL,NULL,NULL
87,1,Rachel Carson National Estuarine Research Reserve,NULL,NULL,NULL
88,1,Rail Switch Nature Trail,NULL,NULL,NULL
312,1,Calico Creek Boardwalk,NULL,NULL,NULL
90,1,River Park North,NULL,NULL,NULL
91,1,Southport Riverwalk,NULL,NULL,NULL
92,1,Roanoke Canal Museum & Trail,NULL,NULL,NULL
93,1,Roanoke Island Marsh Game Land,NULL,NULL,NULL
94,1,Roanoke River National Wildlife Refuge,NULL,NULL,NULL
95,1,Roanoke River Paddle Trail - Conaby Creek,NULL,NULL,NULL
96,1,Roanoke River Paddle Trail - Mainstem and Tributaries,NULL,NULL,NULL
97,1,Roanoke River Paddle Trail - Weldon,NULL,NULL,NULL
98,1,Roanoke River Paddle Trail - Cashie River,NULL,NULL,NULL
99,1,Scuppernong River Interpretive Trail,NULL,NULL,NULL
101,1,Singletary Lake State Park,NULL,NULL,NULL
102,1,Stewart Parkway River Walk,NULL,NULL,NULL
103,1,Stump Sound Park,NULL,NULL,NULL
104,1,Suggs Mill Pond Game Land,NULL,NULL,NULL
105,1,Sunset Beach Island,NULL,NULL,NULL
106,1,Swanquarter National Wildlife Refuge,NULL,NULL,NULL
107,1,Tar River Trail,NULL,NULL,NULL
108,1,The Elizabethan Gardens,NULL,NULL,NULL
109,1,Upper Perquimans River Trail,NULL,NULL,NULL
311,1,Alligator River National Wildlife Refuge,NULL,NULL,NULL
111,1,Weyerhaeusers Cool Springs Environmental Education Center,NULL,NULL,NULL
112,1,Zekes Island Coastal Reserve,NULL,NULL,NULL
113,2,Alcoa Game Land-Newsom Road,NULL,NULL,NULL
114,2,All American Trail,NULL,NULL,NULL
115,2,Blue Jay Point County Park,NULL,NULL,NULL
116,2,Boones Cave Park,NULL,NULL,NULL
117,2,Calloway Forest,NULL,NULL,NULL
118,2,Cane Creek Park,NULL,NULL,NULL
119,2,Cape Fear Botanical Garden,NULL,NULL,NULL
120,2,Cape Fear River Trail,NULL,NULL,NULL
121,2,Carvers Creek State Park,NULL,NULL,NULL
122,2,Catawba College Ecological Preserve,NULL,NULL,NULL
123,2,Chinqua Penn Walking Trail,NULL,NULL,NULL
