site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
brevard-hike-and-bike-path-including-hospital-fields-accipiter-cooperii,brevard-hike-and-bike-path-including-hospital-fields,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,4,2,4,2,4242,279,201
brevard-hike-and-bike-path-including-hospital-fields-accipiter-striatus,brevard-hike-and-bike-path-including-hospital-fields,Sharp-shinned Hawk,Accipiter striatus,accipiter-striatus,2,0,4,2,2042,278,200
brevard-hike-and-bike-path-including-hospital-fields-actitis-macularius,brevard-hike-and-bike-path-including-hospital-fields,Spotted Sandpiper,Actitis macularius,actitis-macularius,4,3,3,0,4330,397,244
brevard-hike-and-bike-path-including-hospital-fields-agelaius-phoeniceus,brevard-hike-and-bike-path-including-hospital-fields,Red-winged Blackbird,Agelaius phoeniceus,agelaius-phoeniceus,2,2,2,0,2220,1772,529
brevard-hike-and-bike-path-including-hospital-fields-aix-sponsa,brevard-hike-and-bike-path-including-hospital-fields,Wood Duck,Aix sponsa,aix-sponsa,2,2,2,2,2222,31,162
brevard-hike-and-bike-path-including-hospital-fields-archilochus-colubris,brevard-hike-and-bike-path-including-hospital-fields,Ruby-throated Hummingbird,Archilochus colubris,archilochus-colubris,4,4,4,0,4440,864,349
brevard-hike-and-bike-path-including-hospital-fields-ardea-herodias,brevard-hike-and-bike-path-including-hospital-fields,Great Blue Heron,Ardea herodias,ardea-herodias,2,2,2,3,2223,224,136
brevard-hike-and-bike-path-including-hospital-fields-baeolophus-bicolor,brevard-hike-and-bike-path-including-hospital-fields,Tufted Titmouse,Baeolophus bicolor,baeolophus-bicolor,5,5,5,5,5555,1343,397
brevard-hike-and-bike-path-including-hospital-fields-bombycilla-cedrorum,brevard-hike-and-bike-path-including-hospital-fields,Cedar Waxwing,Bombycilla cedrorum,bombycilla-cedrorum,4,4,4,2,4442,1525,429
brevard-hike-and-bike-path-including-hospital-fields-bonasa-umbellus,brevard-hike-and-bike-path-including-hospital-fields,Ruffed Grouse,Bonasa umbellus,bonasa-umbellus,2,2,2,2,2222,98,214
brevard-hike-and-bike-path-including-hospital-fields-bubo-virginianus,brevard-hike-and-bike-path-including-hospital-fields,Great Horned Owl,Bubo virginianus,bubo-virginianus,4,4,4,4,4444,681,335
brevard-hike-and-bike-path-including-hospital-fields-buteo-jamaicensis,brevard-hike-and-bike-path-including-hospital-fields,Red-tailed Hawk,Buteo jamaicensis,buteo-jamaicensis,5,5,5,4,5554,305,206
brevard-hike-and-bike-path-including-hospital-fields-buteo-lineatus,brevard-hike-and-bike-path-including-hospital-fields,Red-shouldered Hawk,Buteo lineatus,buteo-lineatus,2,2,2,2,2222,296,203
brevard-hike-and-bike-path-including-hospital-fields-buteo-platypterus,brevard-hike-and-bike-path-including-hospital-fields,Broad-winged Hawk,Buteo platypterus,buteo-platypterus,4,4,5,0,4450,298,204
brevard-hike-and-bike-path-including-hospital-fields-butorides-virescens,brevard-hike-and-bike-path-including-hospital-fields,Green Heron,Butorides virescens,butorides-virescens,2,2,2,0,2220,238,144
