scientificName,commonName,spp_slug,aou,bnc
Accipiter cooperii,Cooper's Hawk,accipiter-cooperii,279,201
Accipiter gentilis,Northern Goshawk,accipiter-gentilis,282,202
Accipiter striatus,Sharp-shinned Hawk,accipiter-striatus,278,200
Actitis macularius,Spotted Sandpiper,actitis-macularius,397,244
Aechmophorus clarkii,Clark's Grebe,aechmophorus-clarkii,141,11303
Aechmophorus occidentalis,Western Grebe,aechmophorus-occidentalis,140,104
Aegolius acadicus,Northern Saw-whet Owl,aegolius-acadicus,705,341
Agelaius phoeniceus,Red-winged Blackbird,agelaius-phoeniceus,1772,529
Peucaea aestivalis,Bachman's Sparrow,peucaea-aestivalis,1697,500
Aix sponsa,Wood Duck,aix-sponsa,31,162
Alca torda,Razorbill,alca-torda,516,315
Alle alle,Dovekie,alle-alle,513,313
Ammodramus caudacutus,Saltmarsh Sparrow,ammodramus-caudacutus,1718,513
Ammodramus henslowii,Henslow's Sparrow,ammodramus-henslowii,1717,511
Ammodramus leconteii,Le Conte's Sparrow,ammodramus-leconteii,2040,512
Ammodramus maritimus,Seaside Sparrow,ammodramus-maritimus,1719,514
Ammodramus nelsoni,Nelson's Sparrow,ammodramus-nelsoni,2041,515
Ammodramus savannarum,Grasshopper Sparrow,ammodramus-savannarum,1716,510
Anas acuta,Northern Pintail,anas-acuta,46,166
Anas americana,American Wigeon,anas-americana,35,173
Anas clypeata,Northern Shoveler,anas-clypeata,44,170
Anas crecca,Green-winged Teal,anas-crecca,49,163
Anas cyanoptera,Cinnamon Teal,anas-cyanoptera,43,169
Anas discors,Blue-winged Teal,anas-discors,42,168
Anas penelope,Eurasian Wigeon,anas-penelope,34,172
Anas platyrhynchos,Mallard,anas-platyrhynchos,37,165
Anas querquedula,Garganey,anas-querquedula,47,167
Anas rubripes,American Black Duck,anas-rubripes,36,164
Anas strepera,Gadwall,anas-strepera,32,171
Anhinga anhinga,Anhinga,anhinga-anhinga,213,132
Anous stolidus,Brown Noddy,anous-stolidus,482,311
Anser albifrons,Greater White-fronted Goose,anser-albifrons,14,157
Anthus rubescens,American Pipit,anthus-rubescens,1521,427
Anthus spragueii,Sprague's Pipit,anthus-spragueii,1522,428
Aquila chrysaetos,Golden Eagle,aquila-chrysaetos,310,208
Aramus guarauna,Limpkin,aramus-guarauna,364,226
Archilochus colubris,Ruby-throated Hummingbird,archilochus-colubris,864,349
Ardea alba,Great Egret,ardea-alba,227,138
Ardea herodias,Great Blue Heron,ardea-herodias,224,136
Arenaria interpres,Ruddy Turnstone,arenaria-interpres,423,253
Asio flammeus,Short-eared Owl,asio-flammeus,701,340
Asio otus,Long-eared Owl,asio-otus,699,339
Aythya affinis,Lesser Scaup,aythya-affinis,56,178
Aythya americana,Redhead,aythya-americana,51,175
Aythya collaris,Ring-necked Duck,aythya-collaris,53,176
Aythya marila,Greater Scaup,aythya-marila,55,177
Aythya valisineria,Canvasback,aythya-valisineria,50,174
Baeolophus bicolor,Tufted Titmouse,baeolophus-bicolor,1343,397
Bartramia longicauda,Upland Sandpiper,bartramia-longicauda,410,245
Bombycilla cedrorum,Cedar Waxwing,bombycilla-cedrorum,1525,429
Bonasa umbellus,Ruffed Grouse,bonasa-umbellus,98,214
Botaurus lentiginosus,American Bittern,botaurus-lentiginosus,218,134
Branta bernicla,Brant,branta-bernicla,19,160
Branta canadensis,Canada Goose,branta-canadensis,22,161
Branta hutchinsii,Cackling Goose,branta-hutchinsii,21,12179
Branta leucopsis,Barnacle Goose,branta-leucopsis,20,12210
Bubo scandiacus,Snowy Owl,bubo-scandiacus,682,336
Bubo virginianus,Great Horned Owl,bubo-virginianus,681,335
Bubulcus ibis,Cattle Egret,bubulcus-ibis,236,143
Bucephala albeola,Bufflehead,bucephala-albeola,67,188
Bucephala clangula,Common Goldeneye,bucephala-clangula,68,186
Bulweria bulwerii,Bulwer's Petrel,bulweria-bulwerii,163,112
Buteo jamaicensis,Red-tailed Hawk,buteo-jamaicensis,305,206
Buteo lagopus,Rough-legged Hawk,buteo-lagopus,307,207
Buteo lineatus,Red-shouldered Hawk,buteo-lineatus,296,203
Buteo platypterus,Broad-winged Hawk,buteo-platypterus,298,204
Buteo swainsoni,Swainson's Hawk,buteo-swainsoni,301,205
Butorides virescens,Green Heron,butorides-virescens,238,144
Calamospiza melanocorys,Lark Bunting,calamospiza-melanocorys,1714,507
Calcarius lapponicus,Lapland Longspur,calcarius-lapponicus,1733,524
Calidris alba,Sanderling,calidris-alba,428,255
Calidris alpina,Dunlin,calidris-alpina,442,264
Calidris bairdii,Baird's Sandpiper,calidris-bairdii,437,261
Calidris canutus,Red Knot,calidris-canutus,427,254
Calidris ferruginea,Curlew Sandpiper,calidris-ferruginea,443,265
Calidris fuscicollis,White-rumped Sandpiper,calidris-fuscicollis,436,260
Calidris himantopus,Stilt Sandpiper,calidris-himantopus,444,266
Calidris maritima,Purple Sandpiper,calidris-maritima,440,263
Calidris mauri,Western Sandpiper,calidris-mauri,430,257
Calidris melanotos,Pectoral Sandpiper,calidris-melanotos,438,262
Calidris minuta,Little Stint,calidris-minuta,432,258
Calidris minutilla,Least Sandpiper,calidris-minutilla,435,259
Calidris pusilla,Semipalmated Sandpiper,calidris-pusilla,429,256
Calonectris diomedea,Cory's Shearwater,calonectris-diomedea,167,113
Calonectris edwardsii,Cape Verde Shearwater,calonectris-edwardsii,168,11304
Antrostomus carolinensis,Chuck-will's-widow,antrostomus-carolinensis,718,345
Antrostomus vociferus,Eastern Whip-poor-will,antrostomus-vociferus,724,346
Cardinalis cardinalis,Northern Cardinal,cardinalis-cardinalis,1755,488
Acanthis flammea,Common Redpoll,acanthis-flammea,1857,548
Spinus pinus,Pine Siskin,spinus-pinus,1860,549
Spinus tristis,American Goldfinch,spinus-tristis,1868,551
Haemorhous mexicanus,House Finch,haemorhous-mexicanus,10371,544
Haemorhous purpureus,Purple Finch,haemorhous-purpureus,10351,543
Cathartes aura,Turkey Vulture,cathartes-aura,256,153
Catharus fuscescens,Veery,catharus-fuscescens,1450,415
Catharus guttatus,Hermit Thrush,catharus-guttatus,1454,418
Catharus minimus,Gray-cheeked Thrush,catharus-minimus,1451,416
Catharus ustulatus,Swainson's Thrush,catharus-ustulatus,1453,417
Certhia americana,Brown Creeper,certhia-americana,1351,401
Megaceryle alcyon,Belted Kingfisher,megaceryle-alcyon,912,353
