ID,lat,lon,name,type,notes,marker
L785746,36.0241422,-78.9252663,17 Acre Woods,hotspot,,small_blue
L1473295,35.5002526,-80.8075151,Abersham (Huntersville),hotspot,,small_blue
L452423,34.215,-77.8294444,Airlie Gardens,hotspot,,small_blue
L1813013,36.0089703,-79.5200486,Alamance Battleground SHS,hotspot,,small_blue
L2221286,35.7184878,-82.6326719,Alexander Mountain Bike Park,hotspot,,small_blue
L1303164,35.7319332,-79.6592045,Allen H. Leonard Memorial Park aka Brooklyn Park,hotspot,,small_blue
L1857419,35.7689098,-75.7426208,Alligator NWR--Point Peter Rd.,hotspot,,small_blue
L189480,35.864075,-75.86201,Alligator River NWR,hotspot,,small_blue
L662525,35.8663085,-75.9186709,Alligator River NWR--Buffalo City Rd. ,hotspot,,small_blue
L2225934,35.7694231,-75.7683438,Alligator River NWR--Point Peter Rd.,hotspot,,small_blue
L1818977,35.8682062,-75.9427724,Alligator River NWR--River Rd.,hotspot,,small_blue
L697961,35.8375158,-75.918982,Alligator River NWR--Sandy Ridge trail,hotspot,,small_blue
L1931477,35.8475958,-75.8712387,Alligator River NWR--Sawyer Lake Rd.,hotspot,,small_blue
L365545,35.830827,-75.8398247,Alligator River NWR--Wildlife Drive,hotspot,,small_blue
L1824635,35.9007501,-76.0048703,Alligator River draw bridge,hotspot,,small_blue
L199989,35.8966667,-80.8036111,Allison Woods,hotspot,,small_blue
L1475968,35.7156061,-78.9428878,American Tobacco Trail--South End (Wake Co.),hotspot,,small_blue
L998113,35.7610248,-78.9211003,American Tobacco Trail--White Oak Creek,hotspot,,small_blue
L775652,35.9046246,-76.4802933,American Turf Farms,hotspot,,small_blue
L2177464,35.3105783,-78.9554787,Anderson Creek Park,hotspot,,small_blue
L599964,35.7708202,-78.5420322,Anderson Point Park,hotspot,,small_blue
L1047700,34.2302547,-77.8974438,Anne McCrary Park,hotspot,,small_blue
L496866,35.7521894,-78.8255095,Apex Community Park,hotspot,,small_blue
