birdID,siteNumber,commonName,scientificName,spring,summer,fall,winter,comment
53746,329,Canada Goose,Branta canadensis,5,5,5,5,NULL
53745,329,Snow Goose,Chen caerulescens,NULL,NULL,NULL,1,NULL
53744,328,House Sparrow,Passer domesticus,2,2,2,2,NULL
53743,328,American Goldfinch,Carduelis tristis,2,3,2,4,NULL
53742,328,Pine Siskin,Carduelis pinus,1,NULL,1,1,NULL
53741,328,House Finch,Carpodacus mexicanus,4,4,4,4,NULL
53740,328,Purple Finch,Carpodacus purpureus,3,NULL,3,3,NULL
53739,328,Baltimore Oriole,Icterus galbula,3,3,4,3,NULL
53738,328,Orchard Oriole,Icterus spurius,4,5,3,NULL,NULL
53737,328,Brown-headed Cowbird,Molothrus ater,5,5,5,5,NULL
53736,328,Boat-tailed Grackle,Quiscalus major,3,3,3,3,NULL
53735,328,Common Grackle,Quiscalus quiscula,5,5,5,5,NULL
53734,328,Brewer's Blackbird,Euphagus cyanocephalus,NULL,NULL,1,1,NULL
53733,328,Rusty Blackbird,Euphagus carolinus,2,NULL,2,4,NULL
53732,328,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1,NULL,1,1,NULL
53731,328,Eastern Meadowlark,Sturnella magna,5,5,5,5,NULL
53730,328,Red-winged Blackbird,Agelaius phoeniceus,5,5,5,5,NULL
53729,328,Bobolink,Dolichonyx oryzivorus,3,3,4,NULL,NULL
53728,328,Dickcissel,Spiza americana,NULL,NULL,3,NULL,NULL
53727,328,Painted Bunting,Passerina ciris,NULL,NULL,NULL,1,NULL
53726,328,Indigo Bunting,Passerina cyanea,4,5,4,NULL,NULL
53725,328,Blue Grosbeak,Passerina caerulea,4,5,4,NULL,NULL
53724,328,Rose-breasted Grosbeak,Pheucticus ludovicianus,3,NULL,3,NULL,NULL
53723,328,Northern Cardinal,Cardinalis cardinalis,5,5,5,5,NULL
53722,328,Dark-eyed Junco,Junco hyemalis,2,NULL,2,4,NULL
53721,328,White-crowned Sparrow,Zonotrichia leucophrys,NULL,NULL,3,1,NULL
53720,328,White-throated Sparrow,Zonotrichia albicollis,4,NULL,4,5,NULL
53719,328,Swamp Sparrow,Melospiza georgiana,5,NULL,4,5,NULL
53718,328,Lincoln's Sparrow,Melospiza lincolnii,1,NULL,3,3,NULL
53717,328,Song Sparrow,Melospiza melodia,2,NULL,4,5,NULL
53716,328,Fox Sparrow,Passerella iliaca,2,NULL,2,4,NULL
53715,328,Henslow's Sparrow,Ammodramus henslowii,NULL,NULL,NULL,1,NULL
53714,328,Grasshopper Sparrow,Ammodramus savannarum,NULL,NULL,3,1,NULL
53713,328,Savannah Sparrow,Passerculus sandwichensis,4,NULL,4,5,NULL
53712,328,Lark Sparrow,Chondestes grammacus,NULL,NULL,3,NULL,NULL
53711,328,Vesper Sparrow,Pooecetes gramineus,NULL,NULL,1,1,NULL
53710,328,Field Sparrow,Spizella pusilla,2,NULL,2,2,NULL
53709,328,Clay-colored Sparrow,Spizella pallida,NULL,NULL,3,1,NULL
53708,328,Chipping Sparrow,Spizella passerina,2,3,2,4,NULL
53707,328,Eastern Towhee,Pipilo erythrophthalmus,5,5,5,5,NULL
53706,328,Western Tanager,Piranga ludoviciana,NULL,NULL,NULL,1,NULL
53705,328,Scarlet Tanager,Piranga olivacea,3,NULL,3,NULL,NULL
53704,328,Summer Tanager,Piranga rubra,4,4,3,NULL,NULL
53703,328,Yellow-breasted Chat,Icteria virens,2,2,3,3,NULL
53702,328,Wilson's Warbler,Wilsonia pusilla,NULL,NULL,3,1,NULL
53701,328,Hooded Warbler,Wilsonia citrina,4,4,3,NULL,NULL
53700,328,Common Yellowthroat,Geothlypis trichas,5,5,5,5,NULL
53699,328,MacGillivray's Warbler,Oporornis tolmiei,NULL,NULL,1,1,NULL
53698,328,Kentucky Warbler,Oporornis formosus,3,3,3,NULL,NULL
53697,328,Northern Waterthrush,Seiurus noveboracensis,3,3,4,1,NULL
53696,328,Ovenbird,Seiurus aurocapilla,4,4,3,NULL,NULL
53695,328,Swainson's Warbler,Limnothlypis swainsonii,2,2,NULL,NULL,NULL
53694,328,Worm-eating Warbler,Helmitheros vermivorum,2,2,3,NULL,NULL
53693,328,Prothonotary Warbler,Protonotaria citrea,4,5,3,NULL,NULL
53692,328,American Redstart,Setophaga ruticilla,1,3,4,NULL,NULL
53691,328,Black-and-white Warbler,Mniotilta varia,4,2,4,3,NULL
53690,328,Blackpoll Warbler,Dendroica striata,2,NULL,2,NULL,NULL
53689,328,Bay-breasted Warbler,Dendroica castanea,NULL,NULL,3,NULL,NULL
53688,328,Palm Warbler,Dendroica palmarum,2,NULL,5,4,NULL
53687,328,Prairie Warbler,Dendroica discolor,4,4,4,3,NULL
53686,328,Pine Warbler,Dendroica pinus,5,5,5,5,NULL
53685,328,Yellow-throated Warbler,Dendroica dominica,4,4,2,1,NULL
53684,328,Blackburnian Warbler,Dendroica fusca,NULL,NULL,3,NULL,NULL
53683,328,Black-throated Green Warbler,Dendroica virens,3,NULL,3,NULL,NULL
53682,328,Yellow-rumped Warbler,Dendroica coronata,5,NULL,4,5,NULL
53681,328,Black-throated Blue Warbler,Dendroica caerulescens,2,3,4,NULL,NULL
53680,328,Cape May Warbler,Dendroica tigrina,NULL,NULL,2,NULL,NULL
53679,328,Magnolia Warbler,Dendroica magnolia,NULL,NULL,4,NULL,NULL
523,4,Wood Duck,Aix sponsa,2,2,2,2,NULL
524,4,Mallard,Anas platyrhynchos,2,2,2,2,NULL
525,4,Blue-winged Teal,Anas discors,3,NULL,3,NULL,NULL
526,4,Green-winged Teal,Anas crecca,NULL,NULL,3,3,NULL
527,4,Hooded Merganser,Lophodytes cucullatus,NULL,NULL,3,3,NULL
528,4,Wild Turkey,Meleagris gallopavo,3,3,3,3,NULL
529,4,Northern Bobwhite,Colinus virginianus,3,3,3,3,NULL
530,4,Double-crested Cormorant,Phalacrocorax auritus,2,2,2,2,NULL
531,4,Great Blue Heron,Ardea herodias,2,2,4,4,NULL
532,4,Great Egret,Ardea alba,3,3,3,3,NULL
533,4,Little Blue Heron,Egretta caerulea,3,3,3,3,NULL
534,4,Green Heron,Butorides virescens,2,2,2,1,NULL
535,4,White Ibis,Eudocimus albus,3,3,3,3,NULL
536,4,Black Vulture,Coragyps atratus,2,2,2,2,NULL
537,4,Turkey Vulture,Cathartes aura,5,5,5,5,NULL
538,4,Osprey,Pandion haliaetus,2,2,2,1,NULL
539,4,Bald Eagle,Haliaeetus leucocephalus,2,2,2,2,NULL
540,4,Sharp-shinned Hawk,Accipiter striatus,3,NULL,2,2,NULL
541,4,Cooper's Hawk,Accipiter cooperii,3,3,2,2,NULL
542,4,Red-shouldered Hawk,Buteo lineatus,4,4,4,4,NULL
543,4,Broad-winged Hawk,Buteo platypterus,3,NULL,3,NULL,NULL
544,4,Red-tailed Hawk,Buteo jamaicensis,2,2,4,4,NULL
545,4,American Kestrel,Falco sparverius,3,NULL,2,2,NULL
546,4,Merlin,Falco columbarius,NULL,NULL,3,3,NULL
547,4,American Coot,Fulica americana,NULL,NULL,3,3,NULL
548,4,Spotted Sandpiper,Actitis macularius,3,3,3,NULL,NULL
549,4,Solitary Sandpiper,Tringa solitaria,3,3,3,NULL,NULL
550,4,American Woodcock,Scolopax minor,3,NULL,3,3,NULL
551,4,Rock Pigeon,Columba livia,2,2,2,2,NULL
552,4,Mourning Dove,Zenaida macroura,5,5,5,5,NULL
553,4,Yellow-billed Cuckoo,Coccyzus americanus,4,4,2,NULL,NULL
554,4,Black-billed Cuckoo,Coccyzus erythropthalmus,3,NULL,3,NULL,NULL
555,4,Eastern Screech-Owl,Megascops asio,4,4,4,4,NULL
556,4,Great Horned Owl,Bubo virginianus,2,2,2,2,NULL
557,4,Barred Owl,Strix varia,NULL,NULL,3,3,NULL
558,4,Common Nighthawk,Chordeiles minor,3,3,3,NULL,NULL
559,4,Chuck-will's-widow,Caprimulgus carolinensis,2,2,3,NULL,NULL
560,4,Whip-poor-will,Caprimulgus vociferus,NULL,NULL,3,NULL,NULL
561,4,Chimney Swift,Chaetura pelagica,4,5,3,NULL,NULL
562,4,Ruby-throated Hummingbird,Archilochus colubris,4,4,2,NULL,NULL
563,4,Belted Kingfisher,Ceryle alcyon,2,3,2,2,NULL
564,4,Red-headed Woodpecker,Melanerpes erythrocephalus,4,4,4,2,NULL
565,4,Red-bellied Woodpecker,Melanerpes carolinus,5,5,5,5,NULL
566,4,Yellow-bellied Sapsucker,Sphyrapicus varius,2,NULL,4,4,NULL
567,4,Downy Woodpecker,Picoides pubescens,5,5,5,5,NULL
568,4,Hairy Woodpecker,Picoides villosus,3,3,3,3,NULL
569,4,Northern Flicker,Colaptes auratus,4,4,5,5,NULL
570,4,Pileated Woodpecker,Dryocopus pileatus,2,2,2,2,NULL
571,4,Eastern Wood-Pewee,Contopus virens,2,2,2,NULL,NULL
572,4,Acadian Flycatcher,Empidonax virescens,2,2,NULL,NULL,NULL
49580,311,Black Rail,Laterallus jamaicensis,3,3,3,1,NULL
574,4,Eastern Phoebe,Sayornis phoebe,2,NULL,4,4,NULL
575,4,Great Crested Flycatcher,Myiarchus crinitus,4,5,2,NULL,NULL
576,4,Eastern Kingbird,Tyrannus tyrannus,2,2,2,NULL,NULL
577,4,White-eyed Vireo,Vireo griseus,4,4,2,3,NULL
578,4,Yellow-throated Vireo,Vireo flavifrons,3,3,3,NULL,NULL
579,4,Blue-headed Vireo,Vireo solitarius,2,NULL,4,4,NULL
580,4,Red-eyed Vireo,Vireo olivaceus,2,2,4,NULL,NULL
581,4,Blue Jay,Cyanocitta cristata,5,5,5,5,NULL
582,4,American Crow,Corvus brachyrhynchos,5,5,5,5,NULL
583,4,Fish Crow,Corvus ossifragus,5,5,4,4,NULL
584,4,Purple Martin,Progne subis,5,5,3,NULL,NULL
585,4,Tree Swallow,Tachycineta bicolor,3,NULL,2,3,NULL
586,4,Northern Rough-winged Swallow,Stelgidopteryx serripennis,3,3,NULL,NULL,NULL
587,4,Barn Swallow,Hirundo rustica,4,4,2,NULL,NULL
588,4,Carolina Chickadee,Poecile carolinensis,5,5,5,5,NULL
589,4,Tufted Titmouse,Baeolophus bicolor,5,5,5,5,NULL
590,4,Red-breasted Nuthatch,Sitta canadensis,3,NULL,3,3,NULL
591,4,White-breasted Nuthatch,Sitta carolinensis,3,3,3,3,NULL
592,4,Brown-headed Nuthatch,Sitta pusilla,5,5,5,5,NULL
593,4,Brown Creeper,Certhia americana,3,NULL,2,2,NULL
594,4,Carolina Wren,Thryothorus ludovicianus,5,5,5,5,NULL
595,4,House Wren,Troglodytes aedon,2,NULL,4,2,NULL
596,4,Winter Wren,Troglodytes troglodytes,3,NULL,2,2,NULL
597,4,Golden-crowned Kinglet,Regulus satrapa,2,NULL,4,5,NULL
598,4,Ruby-crowned Kinglet,Regulus calendula,4,NULL,4,5,NULL
599,4,Blue-gray Gnatcatcher,Polioptila caerulea,5,5,2,3,NULL
600,4,Eastern Bluebird,Sialia sialis,4,4,4,4,NULL
601,4,Veery,Catharus fuscescens,3,NULL,3,NULL,NULL
602,4,Gray-cheeked Thrush,Catharus minimus,NULL,NULL,3,NULL,NULL
603,4,Swainson's Thrush,Catharus ustulatus,3,NULL,3,NULL,NULL
604,4,Hermit Thrush,Catharus guttatus,4,NULL,4,5,NULL
605,4,Wood Thrush,Hylocichla mustelina,2,2,3,NULL,NULL
606,4,American Robin,Turdus migratorius,4,4,4,5,NULL
607,4,Gray Catbird,Dumetella carolinensis,2,2,4,5,NULL
608,4,Northern Mockingbird,Mimus polyglottos,5,5,5,5,NULL
