region|site_num|group_name|site_name|affiliation|lat_dd|lon_dd|site_id|grp_file|slug
Coastal|2|New Hanover|Airlie Gardens|New Hanover County|34.215|-77.82944444|7||airlie-gardens
Piedmont|6|High Rock|Alcoa Game Land - Newsom Road|NC Wildlife Resources Commission (manager); Alcoa Power Generating Incorporated (owner)|35.53694444|-80.19138889|113||alcoa-game-land-newsom-road
Coastal|3|Pender|Abbey Nature Preserve|Poplar Grove Plantation|34.3211111|-77.76555556|4||abbey-nature-preserve
Piedmont|6|Sandhills|All American Trail|US Department of Defense, Fort Bragg Military Installation|35.04111111|-79.23277778|114||all-american-trail
Coastal|6|Albemarle Peninsula|Alligator River National Wildlife Refuge|US Fish and Wildlife Service|35.86388889|-75.86055556|311||alligator-river-national-wildlife-refuge
Piedmont|6|Greater Raleigh|Anderson Point Park|Raleigh Parks and Recreation Department|35.77472222|-78.54222222|22||anderson-point-park
Mountain|5|Catawba Valley|Bakers Mountain Park|Catawba County|35.65583333|-81.41527778|205||bakers-mountain-park
Mountain|2|Roan Mountain|Bakersville Creek Walk|Town of Bakersville|36.015|-82.15777778|289||bakersville-creek-walk
Coastal|6|Southeast|Bald Head Island|Bald Head Island Conservancy|33.87638889|-78.00111111|9||bald-head-island
Coastal|3|Bay Lakes|Bay Tree Lake State Park|NC State Parks|34.68388888|-78.42916667|17||bay-tree-lake-state-park
Mountain|2|French Broad|Beaver Lake Bird Sanctuary|Elisha Mitchell Audubon Society (manager|35.63361111|-82.55666667|235||beaver-lake-bird-sanctuary
Coastal|2|Tri-County|Bennett's Millpond|Edenton-Chowan Parks and Recreation Department|36.13888889|-76.66527778|26||bennetts-millpond
Mountain|2|Haywood County|Big Creek|Great Smoky Mountains National Park|35.76|-83.10555556|252||big-creek
Mountain|4|French Broad|Biltmore Estate|The Biltmore Company|35.56166667|-82.55277778|236||biltmore-estate
Mountain|5|Central Blue Ridge Parkway|Black Mountains|Blue Ridge Parkway|35.73444444|-82.34416667|210||black-mountains
Piedmont|2|Falls Lake|Blue Jay Point County Park|Wake County Parks, Recreation and Open Space Department|35.96833333|-78.64361111|115||blue-jay-point-county-park
Coastal|4|Southeast|Boiling Spring Lakes Preserve|The Nature Conservancy|34.02277778|-78.06388889|8||boiling-spring-lakes-preserve
Mountain|3|Watauga County|Boone Greenway|Town of Boone|36.20305556|-81.6525|306||boone-greenway
Piedmont|1|High Rock|Boone's Cave Park|Davidson County Parks and Recreation Department|35.79888889|-80.4675|116||boones-cave-park
Mountain|2|Cleveland County|Broad River Greenway|Cleveland County, Town of Boiling Springs c/o Broad River Greenway|35.20527778|-81.66083333|233||broad-river-greenway
Coastal|7|Southeast|Brunswick Community College|NC Community Colleges|34.03805556|-78.22972223|15||brunswick-community-college
Coastal|2|Southeast|Brunswick Town - Fort Anderson State Historic Site|NC Department of Cultural Resources|34.04000001|-77.94694443|27||brunswick-town-fort-anderson-state-historic-site
Mountain|5|Watauga County|Buckeye Lake Recreation Area|Town of Beech Mountain|36.22|-81.90472222|307||buckeye-lake-recreation-area
Mountain|7|Central Blue Ridge Parkway|Bull Creek|Blue Ridge Parkway|35.64805556|-82.49083333|211||bull-creek
Piedmont|6|Central Piedmont|Bur-Mil Park|Guilford County|36.16972222|-79.8675|14||bur-mil-park
Coastal|3|Western Coastal Plain|Cabin Lake County Park|Duplin County|34.98083333|-77.78555556|20||cabin-lake-county-park
Coastal|4|East Carteret|Calico Creek Boardwalk|Town of Morehead City|34.72666666|-76.72916668|312||calico-creek-boardwalk
Piedmont|7|Sandhills|Calloway Forest|The Nature Conservancy|35.01222222|-79.30972222|117||calloway-forest
Piedmont|7|Greater Charlotte East|Cane Creek Park|Union County Parks and Recreation Department|34.84194444|-80.68388889|118||cane-creek-park
Piedmont|1|Sandhills|Cape Fear Botanical Garden|Cape Fear Botanical Garden|35.05583333|-78.85916667|119||cape-fear-botanical-garden
Piedmont|3|Sandhills|Cape Fear River Trail|City of Fayetteville|35.08777778|-78.87083333|120||cape-fear-river-trail
Coastal|4|Outer Banks|Cape Hatteras National Seashore - Bodie Island|National Park Service|35.81777778|-75.56416668|313||cape-hatteras-national-seashore-bodie-island
Coastal|1|Southern Outer Banks|Cape Hatteras National Seashore - Hatteras Island|National Park Service|35.25138889|-75.52722223|314||cape-hatteras-national-seashore-hatteras-island
Coastal|3|Southern Outer Banks|Cape Hatteras National Seashore - Ocracoke Island|National Park Service|35.13444445|-75.90555555|315||cape-hatteras-national-seashore-ocracoke-island
Coastal|7|East Carteret|Cape Lookout Point, Cape Lookout National Seashore|National Park Service|34.62277778|-76.52444445|316||cape-lookout-point-cape-lookout-national-seashore
Mountain|8|French Broad|Carl Sandburg Home National Historic Site|National Park Service|35.27277778|-82.45277778|237||carl-sandburg-home-national-historic-site
Coastal|5|New Hanover|Carolina Beach State Park|NC State Parks|34.04694443|-77.90694445|23||carolina-beach-state-park
Mountain|4|Greater Charlotte West|Carolina Raptor Center|Carolina Raptor Center|35.35083333|-80.91777778|243||carolina-raptor-center
Piedmont|4|Sandhills|Carvers Creek State Park|NC State Parks|35.17305556|-78.88666667|121||carvers-creek-state-park
Coastal|5|Roanoke|Cashie Wetlands Walk|Town of Windsor|35.99972222|-76.94527779|317||cashie-wetlands-walk
Piedmont|1|Caswell-Person|Caswell Game Land|NC Wildlife Resources Commission|36.3575|-79.34361111|10||caswell-game-land
Piedmont|2|High Rock|Catawba College Ecological Preserve|Catawba College|35.68944444|-80.48055556|122||catawba-college-ecological-preserve
Mountain|6|Central Foothills|Catawba River and Freedom Trail Greenways|City of Morganton|35.74027778|-81.71805556|219||catawba-river-and-freedom-trail-greenways
Coastal|3|Tri-County|Catherine Creek/Warwick Creek Paddle Trail|Edenton-Chowan Parks and Recreation Department|36.31388889|-76.65666666|36||catherine-creek-warwick-creek-paddle-trail
Coastal|8|East Carteret|Cedar Island National Wildlife Refuge|US Fish and Wildlife Service|34.95499999|-76.2775|318||cedar-island-national-wildlife-refuge
Coastal|3|Onslow Bight|Cedar Point Tideland Trail|USDA Forest Service|34.69166667|-77.0863889|16||cedar-point-tideland-trail
Piedmont|1|Central Piedmont|Cedarock Park|Alamance County Recreation and Parks Department|35.98388889|-79.44638889|18||cedarock-park
Mountain|8|Central Blue Ridge Parkway|Charles D. Owen Park|Buncombe County Parks, Greenways and Recreation Services|35.61|-82.42944444|212||charles-d-owen-park
Mountain|4|Southwest Mountains|Cherohala Skyway|Nantahala National Forest|35.345|-83.89333333|299||cherohala-skyway
Coastal|4|Lower Neuse|Cherry Branch - Minnesott Ferry|NC Department of Transportation|34.93499999|-76.81111111|31||cherry-branch-minnesott-ferry
Mountain|1|Southern Foothills|Chimney Rock State Park|NC State Parks|35.43222222|-82.24944444|293||chimney-rock-state-park
Piedmont|2|Rockingham County|Chinqua-Penn Walking Trail|Upper Piedmont Research Station, NC State University|36.38277778|-79.70083333|123||chinqua-penn-walking-trail
Piedmont|7|Greater Raleigh|Clemmons Educational State Forest|NC Division of Forest Resources|35.67944444|-78.48722222|124||clemmons-educational-state-forest
Coastal|2|Western Coastal Plain|Cliffs of the Neuse State Park|NC State Parks|35.23972222|-77.88472223|32||cliffs-of-the-neuse-state-park
Coastal|2|Central Coastal Plain|Contentnea Creek Paddle Trail|Greene County|35.41277777|-77.49777777|30||contentnea-creek-paddle-trail
Mountain|3|Central Foothills|Cottages at Spring House Farm|Arthur and Zee Campbell|35.54194444|-82.08916667|220||cottages-at-spring-house-farm
Mountain|2|Greater Charlotte West|Cowan's Ford Wildlife Refuge|Mecklenburg County Park and Recreation Department|35.38138889|-80.96138889|244||cowans-ford-wildlife-refuge
Mountain|2|Central Blue Ridge Parkway|Crabtree Meadows|Blue Ridge Parkway|35.81222222|-82.14277778|213||crabtree-meadows
Mountain|6|Central Blue Ridge Parkway|Craggy Gardens|Blue Ridge Parkway|35.69805556|-82.39861111|214||craggy-gardens
Coastal|2|Lower Neuse|Croatan National Forest - Island Creek Forest Walk|USDA Forest Service|35.02694444|-77.13555557|37||croatan-national-forest-island-creek-forest-walk
Coastal|1|Onslow Bight|Croatan National Forest - Millis & Pringle Roads|USDA Forest Service|34.77111111|-76.93055556|38||croatan-national-forest-millis-and-pringle-roads
Coastal|3|Lower Neuse|Croatan National Forest - Neusiok Trail|USDA Forest Service|34.93861111|-76.82166666|39||croatan-national-forest-neusiok-trail
Mountain|1|Cleveland County|Crowders Mountain State Park|NC State Parks|35.21333333|-81.29361111|234||crowders-mountain-state-park
Coastal|1|Central Coastal Plain|CSS Neuse State Historic Site|NC Department of Cultural Resources|35.26666667|-77.62138889|40||css-neuse-state-historic-site
Mountain|1|Northern Blue Ridge Parkway|Cumberland Knob|Blue Ridge Parkway|36.55305556|-80.90861111|274||cumberland-knob
Coastal|6b|Northeast|Currituck Banks National Estuarine Research Reserve|NC Coastal Reserve|36.38888888|-75.83055556|319||currituck-banks-national-estuarine-research-reserve
Coastal|6c|Northeast|Currituck National Wildlife Refuge|US Fish and Wildlife Service|36.38888888|-75.83055556|320||currituck-national-wildlife-refuge
Piedmont|3|High Rock|Dan Nicholas Park|Rowan County Parks and Recreation Department|35.63222222|-80.35638889|126||dan-nicholas-park
Piedmont|3|Rockingham County|Dan River|Rockingham County|36.47472222|-79.75|127||dan-river
Mountain|5|Pisgah|Davidson River|Pisgah National Forest|35.28472222|-82.72722222|283||davidson-river
Mountain|2|Pisgah|Devil's Courthouse|Blue Ridge Parkway|35.305|-82.89944444|284||devils-courthouse
Coastal|2|Northeast|Dismal Swamp Canal Trail|NC Department of Transportation; Dismal Swamp Canal Welcome Center (local contact|36.50694445|-76.35472222|321||dismal-swamp-canal-trail
Coastal|1|Northeast|Dismal Swamp State Park|NC State Parks|36.50694445|-76.35472222|42||dismal-swamp-state-park
Mountain|3|Northern Blue Ridge Parkway|Doughton Park|Blue Ridge Parkway|36.43361111|-81.17722222|275||doughton-park
Piedmont|7|Orange-Durham|Duke Forest|Duke University|35.97777778|-79.02888889|5||duke-forest
Piedmont|1|Lee-Harnett|Dunn Erwin Trail|Dunn Erwin Trail Authority|35.32638889|-78.63055556|128||dunn-erwin-trail
Piedmont|4|High Rock|Dunn's Mountain History and Nature Preserve|Rowan County Parks and Recreation Department|35.62555556|-80.42527778|129||dunns-mountain-history-and-nature-preserve
Mountain|6|Pisgah|DuPont State Forest|NC Division of Forest Resources|35.19111111|-82.62277778|285||dupont-state-forest
Piedmont|1|Greater Raleigh|Durant Nature Park|City of Raleigh Parks and Recreation Department|35.89472222|-78.57861111|130||durant-nature-park
Mountain|3|New River|E.B. Jeffress Park|Blue Ridge Parkway|36.24611111|-81.45805556|268||eb-jeffress-park
Piedmont|5|High Rock|Eagle Point Nature Preserve|Rowan County Parks and Recreation Department|35.60388889|-80.26666667|131||eagle-point-nature-preserve
Coastal|3|Albemarle Peninsula|Eastern 4-H Environmental Education Conference Center|NC State University|35.93555556|-76.35666666|43||eastern-4-h-environmental-education-conference-center
Coastal|1|Tri-County|Edenton National Fish Hatchery|US Fish and Wildlife Service|36.05694444|-76.63694443|44||edenton-national-fish-hatchery
Mountain|1|Watauga County|Elk Knob State Park|NC State Parks|36.3325|-81.68944444|308||elk-knob-state-park
Coastal|4|Onslow Bight|Emerald Isle Woods|Town of Emerald Isle|34.65861112|-77.06805557|33||emerald-isle-woods
Piedmont|3|Orange-Durham|Eno River State Park|NC State Parks|36.078|-79.00694444|132||eno-river-state-park
Coastal|1|Southeast|Ev-Henwood Nature Preserve|University of North Carolina at Wilmington|34.16916666|-78.11555556|322||ev-henwood-nature-preserve
Piedmont|5|Falls Lake|Falls Lake State Recreation Area - Beaverdam Reservoir|NC State Parks|36.04222222|-78.68361111|13||falls-lake-state-recreation-area-beaverdam-reservoir
Piedmont|3|Falls Lake|Falls Lake State Recreation Area - Holly Point / Shinleaf|NC State Parks|35.99472222|-78.65555556|133||falls-lake-state-recreation-area-holly-point-shinleaf
Piedmont|7|Falls Lake|Falls Lake State Recreation Area - Rollingview|NC State Parks|36.02277778|-78.72777778|134||falls-lake-state-recreation-area-rollingview
Piedmont|6|Falls Lake|Falls Lake State Recreation Area - Sandling Beach|NC State Parks|36.03916667|-78.71083333|135||falls-lake-state-recreation-area-sandling-beach
Piedmont|4|Falls Lake|Falls Lake State Recreation Area - Woodpecker Ridge|NC State Parks|36.02333333|-78.69527778|136||falls-lake-state-recreation-area-woodpecker-ridge
Piedmont|1|Falls Lake|Falls Lake Trail|NC Wildlife Resources Commission, NC Division of Parks and Recreation, Wake County Parks and Recreation (joint managers), US Army Corps of Engineers (owner)|35.942|-78.582|137||falls-lake-trail
Mountain|6|Cherokee|Ferguson Fields (Kituwah Farm)|Eastern Band of Cherokee Indian|35.43888889|-83.4025|227||ferguson-fields-kituwah-farm
Mountain|6|Southwest Mountains|Fires Creek Picnic Area|Nantahala National Forest|35.09583333|-83.85861111|300||fires-creek-picnic-area
Mountain|2|Southwest Mountains|Fontana Village|Fontana Village|35.43277778|-83.82194444|301||fontana-village
Mountain|6|Southern Foothills|Foothills Equestrian Nature Center|Foothills Equestrian Nature Center|35.20055556|-82.17472222|294||foothills-equestrian-nature-center
Coastal|6a|New Hanover|Fort Fisher State Historic Site|NC Department of Cultural Resources|33.97166668|-77.9175|46||fort-fisher-state-historic-site
Coastal|6c|New Hanover|Fort Fisher State Recreation Area|NC State Parks|33.96444444|-77.9225|47||fort-fisher-state-recreation-area
Coastal|3|East Carteret|Fort Macon State Park|NC State Parks|34.69694444|-76.67777778|48||fort-macon-state-park
Piedmont|1|Greater Charlotte East|Frank Liske Park|Cabarrus County Parks and Recreation Department|35.36305556|-80.6225|138||frank-liske-park
Piedmont|11|Northeast Piedmont|Franklin County Nature Preserve|Allen DeHart|36.02388889|-78.35388889|139||franklin-county-nature-preserve
Piedmont|4|Greater Charlotte East|Freedom Park and Charlotte Nature Museum|Mecklenburg County Park and Recreation Department|35.1925|-80.8425|140||freedom-park-and-charlotte-nature-museum
Mountain|3|French Broad|French Broad River Greenway|City of Asheville Parks & Recreation|35.56916667|-82.56416667|238||french-broad-river-greenway
Mountain|2|Catawba Valley|Glenn C. Hilton, Jr. Memorial Park|City of Hickory|35.76194444|-81.35555556|206||glenn-c-hilton-jr-memorial-park
Coastal|5|Lower Neuse|Goose Creek Game Land - Spring Creek Impoundment en|NC Wildlife Resources Commission|35.26722001|-76.61722001|323||goose-creek-game-land-spring-creek-impoundment-en
Coastal|5|Central Coastal Plain|Goose Creek State Park|NC State Parks|35.47833334|-76.90249999|50||goose-creek-state-park
Mountain|10|Nantahala|Gorges State Park|NC State Parks|35.10083333|-82.95916667|258||gorges-state-park
Mountain|4|Grandfather Corridor|Grandfather Mountain|Grandfather Mountain, Inc.|36.09583333|-81.83166667|248||grandfather-mountain
Mountain|2|Southern Foothills|Green River Game Land|NC Wildlife Resources Commission|35.29111111|-82.32472222|295||green-river-game-land
Coastal|8|Southeast|Green Swamp Preserve|The Nature Conservancy|34.09277778|-78.29916666|324||green-swamp-preserve
Mountain|2|New River|Green Valley Park|Green Valley Park, Inc.|36.28777778|-81.61138889|269||green-valley-park
Coastal|1|New Hanover|Greenfield Park|City of Wilmington Parks and Recreation Department|34.21416666|-77.9438889|52||greenfield-park
Piedmont|5|Central Piedmont|Guilford Courthouse National Military Park|National Park Service|36.13111111|-79.84638889|19||guilford-courthouse-national-military-park
Coastal|7|Albemarle Peninsula|Gull Rock Game Land|NC Wildlife Resources Commission|35.37805556|-76.11222222|53||gull-rock-game-land
Coastal|5|Onslow Bight|Hammocks Beach State Park - Bear Island & Huggins Island|NC State Parks|34.67083333|-77.14305557|54||hammocks-beach-state-park-bear-island-and-huggins-island
Piedmont|7|Northwest Piedmont|Hanging Rock State Park|NC State Parks|36.395|-80.26638889|141||hanging-rock-state-park
Coastal|6|East Carteret|Harkers Island Nature Trail|National Park Service|34.68527779|-76.52722222|55||harkers-island-nature-trail
Piedmont|14|Greater Raleigh|Harris Lake County Park|Wake County Parks, Recreation and Open Space Department|35.62138889|-78.92583333|142||harris-lake-county-park
