site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
rachel-carson-reserve-gavia-stellata,rachel-carson-reserve,Red-throated Loon,Gavia stellata,gavia-stellata,2,0,3,3,2033
rachel-carson-reserve-gavia-stellata,rachel-carson-reserve,Red-throated Loon,Gavia stellata,gavia-stellata,2,0,0,3,2003
rachel-carson-reserve-gavia-immer,rachel-carson-reserve,Common Loon,Gavia immer,gavia-immer,4,2,3,5,4235
rachel-carson-reserve-podilymbus-podiceps,rachel-carson-reserve,Pied-billed Grebe,Podilymbus podiceps,podilymbus-podiceps,2,0,3,3,2033
rachel-carson-reserve-podiceps-auritus,rachel-carson-reserve,Horned Grebe,Podiceps auritus,podiceps-auritus,3,0,2,3,3023
rachel-carson-reserve-porzana-carolina,rachel-carson-reserve,Sora,Porzana carolina,porzana-carolina,2,2,0,0,2200
rachel-carson-reserve-puffinus-lherminieri,rachel-carson-reserve,Audubon's Shearwater,Puffinus lherminieri,puffinus-lherminieri,0,2,0,0,0200
rachel-carson-reserve-gallinago-delicata,rachel-carson-reserve,Wilson's Snipe,Gallinago delicata,gallinago-delicata,2,2,0,0,2200
rachel-carson-reserve-morus-bassanus,rachel-carson-reserve,Northern Gannet,Morus bassanus,morus-bassanus,4,0,2,4,4024
rachel-carson-reserve-pelecanus-occidentalis,rachel-carson-reserve,Brown Pelican,Pelecanus occidentalis,pelecanus-occidentalis,5,5,5,5,5555
rachel-carson-reserve-pelecanus-erythrorhynchos,rachel-carson-reserve,American White Pelican,Pelecanus erythrorhynchos,pelecanus-erythrorhynchos,1,1,1,1,1111
rachel-carson-reserve-phalacrocorax-carbo,rachel-carson-reserve,Great Cormorant,Phalacrocorax carbo,phalacrocorax-carbo,0,0,1,1,0011
rachel-carson-reserve-phalacrocorax-auritus,rachel-carson-reserve,Double-crested Cormorant,Phalacrocorax auritus,phalacrocorax-auritus,5,2,5,5,5255
rachel-carson-reserve-botaurus-lentiginosus,rachel-carson-reserve,American Bittern,Botaurus lentiginosus,botaurus-lentiginosus,2,0,2,1,2021
rachel-carson-reserve-ixobrychus-exilis,rachel-carson-reserve,Least Bittern,Ixobrychus exilis,ixobrychus-exilis,2,2,2,0,2220
rachel-carson-reserve-ardea-herodias,rachel-carson-reserve,Great Blue Heron,Ardea herodias,ardea-herodias,4,3,4,5,4345
rachel-carson-reserve-ardea-alba,rachel-carson-reserve,Great Egret,Ardea alba,ardea-alba,5,5,5,4,5554
rachel-carson-reserve-egretta-thula,rachel-carson-reserve,Snowy Egret,Egretta thula,egretta-thula,5,5,5,4,5554
rachel-carson-reserve-egretta-caerulea,rachel-carson-reserve,Little Blue Heron,Egretta caerulea,egretta-caerulea,4,4,4,3,4443
rachel-carson-reserve-egretta-tricolor,rachel-carson-reserve,Tricolored Heron,Egretta tricolor,egretta-tricolor,5,5,5,4,5554
rachel-carson-reserve-egretta-rufescens,rachel-carson-reserve,Reddish Egret,Egretta rufescens,egretta-rufescens,1,2,2,0,1220
rachel-carson-reserve-bubulcus-ibis,rachel-carson-reserve,Cattle Egret,Bubulcus ibis,bubulcus-ibis,3,3,2,0,3320
rachel-carson-reserve-butorides-virescens,rachel-carson-reserve,Green Heron,Butorides virescens,butorides-virescens,4,4,3,0,4430
rachel-carson-reserve-nycticorax-nycticorax,rachel-carson-reserve,Black-crowned Night-Heron,Nycticorax nycticorax,nycticorax-nycticorax,4,4,5,5,4455
