site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,American Crow,Corvus brachyrhynchos,corvus-brachyrhynchos,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,American Goldfinch,Carduelis tristis,carduelis-tristis,4,0,4,5,4045
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,American Redstart,Setophaga ruticilla,setophaga-ruticilla,5,0,5,0,5050
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,American Robin,Turdus migratorius,turdus-migratorius,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Barn Swallow,Hirundo rustica,hirundo-rustica,2,2,2,0,2220
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Belted Kingfisher,Ceryle alcyon,ceryle-alcyon,4,4,4,4,4444
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Blue Grosbeak,Passerina caerulea,passerina-caerulea,5,5,5,0,5550
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Blue Jay,Cyanocitta cristata,cyanocitta-cristata,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Blue-gray Gnatcatcher,Polioptila caerulea,polioptila-caerulea,5,5,5,3,5553
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Blue-headed Vireo,Vireo solitarius,vireo-solitarius,2,2,2,3,2223
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Brown Thrasher,Toxostoma rufum,toxostoma-rufum,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Brown-headed Cowbird,Molothrus ater,molothrus-ater,4,4,4,5,4445
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Brown-headed Nuthatch,Sitta pusilla,sitta-pusilla,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Canada Goose,Branta canadensis,branta-canadensis,2,2,2,2,2222
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Carolina Chickadee,Poecile carolinensis,poecile-carolinensis,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Carolina Wren,Thryothorus ludovicianus,thryothorus-ludovicianus,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Cedar Waxwing,Bombycilla cedrorum,bombycilla-cedrorum,4,0,0,4,4004
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Chimney Swift,Chaetura pelagica,chaetura-pelagica,5,5,5,0,5550
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Chipping Sparrow,Spizella passerina,spizella-passerina,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Common Grackle,Quiscalus quiscula,quiscalus-quiscula,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,5,5,5,3,5553
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,3,3,2,2,3322
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Dark-eyed Junco,Junco hyemalis,junco-hyemalis,5,0,5,5,5055
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Double Crested Cormorant,Phalacrocorax auritus,phalacrocorax-auritus,4,4,4,4,4444
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Downy Woodpecker,Picoides pubescens,picoides-pubescens,4,4,4,4,4444
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Eastern Bluebird,Sialia sialis,sialia-sialis,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Eastern Kingbird,Tyrannus tyrannus,tyrannus-tyrannus,4,4,5,0,4450
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Eastern Phoebe,Sayornis phoebe,sayornis-phoebe,5,0,4,5,5045
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Eastern Towhee,Pipilo erythrophthalmus,pipilo-erythrophthalmus,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Eastern Wood-Pewee,Contopus virens,contopus-virens,5,5,5,0,5550
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Eurasian Collared Dove,Streptopelia decaocto,streptopelia-decaocto,1,1,1,1,1111
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,European Starling,Sturnus vulgaris,sturnus-vulgaris,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Fish Crow,Corvus ossifragus,corvus-ossifragus,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Gray Catbird,Dumetella carolinensis,dumetella-carolinensis,5,5,5,4,5554
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Great Blue Heron,Ardea herodias,ardea-herodias,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Great Crested Flycatcher,Myiarchus crinitus,myiarchus-crinitus,5,5,5,0,5550
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Great Egret,Ardea alba,ardea-alba,3,3,3,3,3333
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Hairy Woodpecker,Picoides villosus,picoides-villosus,2,2,2,2,2222
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Herring Gull,Larus argentatus,larus-argentatus,4,1,4,4,4144
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Hermit Thrush,Catharus guttatus,catharus-guttatus,4,0,4,4,4044
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,House Finch,Carpodacus mexicanus,carpodacus-mexicanus,4,4,4,5,4445
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,House Sparrow,Passer domesticus,passer-domesticus,2,2,2,2,2222
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,House Wren,Troglodytes aedon,troglodytes-aedon,2,0,4,2,2042
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Laughing Gull,Laurus atricilla,laurus-atricilla,4,5,4,3,4543
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Least Flycatcher,Empidonax minimus,empidonax-minimus,0,0,2,0,0020
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Little Blue Heron,Egreta caerulea,egreta-caerulea,3,3,3,3,3333
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Mourning Dove,Zenaida macroura,zenaida-macroura,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Northern Cardinal,Cardinalis cardinalis,cardinalis-cardinalis,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Northern Flicker,Colaptes auratus,colaptes-auratus,4,4,4,4,4444
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Northern Mockingbird,Mimus polyglottos,mimus-polyglottos,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Northern Parula,Parula americana,parula-americana,5,5,5,0,5550
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Northern Rough-winged Swallow,Stelgidopteryx serripennis,stelgidopteryx-serripennis,4,4,2,0,4420
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Palm Warbler,Dendroica palmarum,dendroica-palmarum,4,0,4,3,4043
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Pileated Woodpecker,Dryocopus pileatus,dryocopus-pileatus,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Pine Warbler,Dendroica pinus,dendroica-pinus,5,5,5,5,5555
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Prairie Warbler,Dendroica discolor,dendroica-discolor,5,5,4,0,5540
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Prothonotary Warbler,Protonotaria citrea,protonotaria-citrea,4,4,4,0,4440
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Purple Finch,Carpodacus purpureus,carpodacus-purpureus,1,0,1,3,1013
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Purple Martin,Progne subis,progne-subis,4,4,3,0,4430
oakdale-cemetary-corvus-brachyrhynchos,oakdale-cemetary,Red-bellied Woodpecker,Melanerpes carolinus,melanerpes-carolinus,5,5,5,5,5555
